nL,nN,Loss average,Loss std,Acc average,Acc std
2,4,1.1349077615302689e-07,2.3991039661965857e-09,9.747529940483596e-08,1.5229676552288362e-09
2,32,9.722944547570264e-08,9.83234203233567e-09,8.459283401379123e-08,8.476164800249663e-09
4,4,1.0528505866300837e-07,5.742839868183085e-09,9.11915040904567e-08,4.791963024596217e-09
4,32,8.385590943062137e-08,1.4471818469097797e-08,7.367277804475479e-08,1.2162869196622219e-08
8,4,9.475734957789968e-08,1.5307553873637386e-08,8.204562402650773e-08,1.2669020970866579e-08
8,32,6.345206920904162e-08,1.1933570597295629e-08,5.528227668900887e-08,1.0811281331640646e-08
